subject_id,ec_path,metric,transform,pearson_r,mse,mae,n_edges_total,n_edges_used,ec_mean,ec_sd,ccep_mean,ccep_sd
123723,validation_results\123723\reproduce_0866_123723\ec.npy,probability,identity,0.023090232441419733,0.19035787546476368,0.33965980662114753,129240,51931,0.016024287911750947,0.30593772014496107,0.23014101403785792,0.23281606562422588
123723,validation_results\123723\reproduce_0866_123723\ec.npy,probability,abs_ec_align_ccep,0.20476663622160943,0.07627231398532078,0.1912823781962238,129240,51931,0.1960968644773413,0.19993162679624782,0.23014101403785792,0.23281606562422588
123723,validation_results\123723\reproduce_0866_123723\ec.npy,probability,abs_ccep_align_ec,0.5443999159406573,0.0917003447446571,0.230247128119783,129240,51931,0.016024287911750947,0.30593772014496107,0.010269107084400453,0.32720445014517524
136631,validation_results\136631\reproduce_0866_136631\ec.npy,amplitude,identity,0.027791282481582184,58.05299098113738,7.449359612460362,129240,20807,0.023264792787873363,0.3055022512120632,7.472624405248234,1.5790866208494914
136631,validation_results\136631\reproduce_0866_136631\ec.npy,amplitude,abs_ec_align_ccep,0.03434475496733743,54.888365054577,7.237240959598292,129240,20807,0.23538344564994113,0.19613135800545123,7.472624405248234,1.5790866208494914
136631,validation_results\136631\reproduce_0866_136631\ec.npy,amplitude,abs_ccep_align_ec,0.7557758379516343,54.888365054577,7.237240959598292,129240,20807,0.023264792787873363,0.3055022512120632,0.3355384245686548,7.630271556353375
136631,validation_results\136631\reproduce_0866_136631\ec.npy,probability,identity,0.018896073187595397,0.1886339936661191,0.3373123790266895,129240,51931,0.016629449412763914,0.3024980161351399,0.23014101403785792,0.23281606562422588
136631,validation_results\136631\reproduce_0866_136631\ec.npy,probability,abs_ec_align_ccep,0.2061635334010949,0.07555095320899356,0.1900614677167097,129240,51931,0.19394537994327252,0.19746836173175955,0.23014101403785792,0.23281606562422588
136631,validation_results\136631\reproduce_0866_136631\ec.npy,probability,abs_ccep_align_ec,0.5451316126862374,0.09072397727609516,0.22847863374679422,129240,51931,0.016629449412763914,0.3024980161351399,0.009055073077737766,0.32724029765093754
151930,validation_results\151930\reproduce_0866_151930\ec.npy,amplitude,identity,0.0461469422305844,58.00424501820196,7.448374434135204,129240,20807,0.024249971113030424,0.26718623212527226,7.472624405248234,1.5790866208494914
151930,validation_results\151930\reproduce_0866_151930\ec.npy,amplitude,abs_ec_align_ccep,0.04000090647432546,55.36495917559062,7.270664761541716,129240,20807,0.20195964370651723,0.17660364110125046,7.472624405248234,1.5790866208494914
151930,validation_results\151930\reproduce_0866_151930\ec.npy,amplitude,abs_ccep_align_ec,0.741439764714231,55.36495917559062,7.270664761541716,129240,20807,0.024249971113030424,0.26718623212527226,0.376252318931129,7.628372319869838
151930,validation_results\151930\reproduce_0866_151930\ec.npy,probability,identity,0.03888817279433973,0.16524956997418774,0.31461483155454933,129240,51931,0.015415216192895508,0.2640460509577144,0.23014101403785792,0.23281606562422588
151930,validation_results\151930\reproduce_0866_151930\ec.npy,probability,abs_ec_align_ccep,0.20212376589017103,0.07266318414173296,0.18424342267614477,129240,51931,0.16642573801615287,0.1759554903747998,0.23014101403785792,0.23281606562422588
151930,validation_results\151930\reproduce_0866_151930\ec.npy,probability,abs_ccep_align_ec,0.5370939962871452,0.08396326919111316,0.2169994923528062,129240,51931,0.015415216192895508,0.2640460509577144,0.012145365966378463,0.32714017919029775
152225,validation_results\152225\reproduce_0866_152225\ec.npy,amplitude,identity,0.02108186481454988,58.080112043292445,7.449931620509586,129240,20807,0.02269278473864787,0.32693029060115236,7.472624405248234,1.5790866208494914
152225,validation_results\152225\reproduce_0866_152225\ec.npy,amplitude,abs_ec_align_ccep,0.02203191704326341,54.57960529801245,7.215197317611906,129240,20807,0.25742708763632705,0.20280451657403328,7.472624405248234,1.5790866208494914
152225,validation_results\152225\reproduce_0866_152225\ec.npy,amplitude,abs_ccep_align_ec,0.7706776085120779,54.57960529801245,7.215197317611906,129240,20807,0.02269278473864787,0.32693029060115236,0.3907179314653722,7.627645085876034
152225,validation_results\152225\reproduce_0866_152225\ec.npy,probability,identity,0.021256911129819284,0.20271518147022421,0.3528520976312397,129240,51931,0.018147938118425484,0.32681117083071354,0.23014101403785792,0.23281606562422588
152225,validation_results\152225\reproduce_0866_152225\ec.npy,probability,abs_ec_align_ccep,0.210713250009564,0.077515361986844,0.19478409940918578,129240,51931,0.21436233623231848,0.2086497427006155,0.23014101403785792,0.23281606562422588
152225,validation_results\152225\reproduce_0866_152225\ec.npy,probability,abs_ccep_align_ec,0.5550335650867911,0.09516432470052537,0.23735350758069657,129240,51931,0.018147938118425484,0.32681117083071354,0.01291615797885656,0.3271106534770499
